ticker,pattern_type,breakout_type,confirmed,breakout_date,last_close,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
UGI,ihs,type1,full,2026-08-17,38.0,37.56646359602453,37.75429591400465,36.815134324104044,43.82174437473471,16.65,22,99.0,active,2026-03-16,2026-08-10
AWI,ihs,type1,full,2026-07-27,162.72999572753906,154.97386612804704,155.74873545868726,151.8743888054861,159.94578645101066,3.21,17,83.9,active,2026-03-30,2026-07-20
AVY,ihs,type1,full,2026-07-27,168.77000427246094,166.9801500398866,167.81505079008602,163.6405470390889,183.12910571292966,9.67,19,82.5,active,2026-03-16,2026-07-20
CTAS,ihs,type1,full,2026-07-13,198.44000244140625,185.42403011735553,186.35115026794227,181.7155495150084,210.12507359847112,13.32,15,75.7,active,2026-03-23,2026-06-29
KBR,triangle_sym,type2,time,2026-07-20,36.45000076293945,36.34303406365923,36.52474923397752,35.616173382386044,40.473455111913196,12.82,26,74.5,active,2026-01-12,2026-07-06
RVTY,rectangle,type1,time,2026-08-17,120.94000244140625,117.1103184319298,117.69587002408943,114.7681120632912,151.9548546940212,42.36,23,71.6,active,2026-01-19,2026-06-22
AMAT,triangle_sym,pending,pending,,454.010009765625,658.0679012035766,661.3582407095945,644.9065431795051,902.5485876330467,59.11,51,71.5,active,2025-07-14,2026-06-29
COHR,triangle_sym,pending,pending,,293.1700134277344,434.68070412383867,436.8541076444578,425.9870900413619,625.7581406969517,78.44,52,71.5,active,2025-08-11,2026-08-03
LRCX,triangle_sym,pending,pending,,298.010009765625,404.7882432660443,406.81218448237445,396.69247840072336,544.4947537893424,52.7,41,71.5,active,2025-11-10,2026-08-17
LW,triangle_sym,pending,pending,,47.31999969482422,76.56245448510523,76.94526675753075,75.03120539540313,144.0564511649416,744.27,51,71.5,active,2024-01-01,2024-12-16
ONTO,triangle_sym,pending,pending,,268.9200134277344,362.4405509852604,364.2527537401867,355.1917399655552,477.32528862525487,46.41,52,71.5,active,2025-07-07,2026-06-29
ONTO,triangle_sym,pending,pending,,268.9200134277344,388.6712232518558,390.614579368115,380.89779878681867,531.5147598047907,58.11,46,71.5,active,2025-10-06,2026-08-17
TSCO,triangle_sym,type1,time,2026-08-17,33.52000045776367,32.679958270694726,32.843358062048196,32.02635910528083,36.062317651785555,11.54,29,71.0,active,2026-01-26,2026-08-10
WAT,triangle_sym,type1,time,2026-08-03,401.6400146484375,385.2900085449219,387.21645858764646,377.58420837402343,480.8642926897321,32.99,21,70.6,active,2026-01-05,2026-05-25
ARES,triangle_sym,pending,pending,,130.6300048828125,143.31922157423793,144.0358176821091,140.45283714275317,176.2341567807597,29.81,36,68.5,active,2025-12-08,2026-08-10
MTSI,triangle_sym,pending,pending,,272.42999267578125,408.1810008239746,410.22190582809446,400.0173808074951,567.1456306318803,63.79,43,68.5,active,2025-09-01,2026-06-22
ON,triangle_sym,pending,pending,,70.16999816894531,126.31081719561399,126.94237128159205,123.78460085170171,186.1943945604138,90.15,33,68.5,active,2025-10-20,2026-06-01
TW,ihs,type1,time,2026-08-03,102.47000122070312,97.01649173124473,97.50157418990094,95.07616189661984,102.73182227509581,5.89,26,68.0,active,2026-02-02,2026-07-27
PATH,rectangle,type1,time,2026-08-03,13.869999885559082,12.980000019073486,13.044900019168852,12.720400018692017,16.72000026702881,40.48,12,67.5,active,2026-03-16,2026-06-01
AIG,rectangle,pending,pending,,75.02999877929688,81.0906946790121,81.49614815240716,79.46888078543186,89.5100446616643,11.59,23,67.4,active,2026-03-02,2026-08-03
MTG,rectangle,type1,time,2026-07-20,30.84000015258789,29.334091410698264,29.480761867751752,28.7474095824843,33.61289471063194,17.08,20,66.1,active,2025-12-15,2026-04-27
KKR,triangle_sym,type2,time,2026-07-13,100.87000274658203,98.06270189022328,98.5530153996744,96.10144785241881,107.98703550120356,11.26,28,65.9,active,2025-12-08,2026-06-15
AKAM,triangle_sym,pending,pending,,107.12999725341797,152.7431087964202,153.50682434040226,149.68824662049178,215.7651643187861,70.24,27,65.5,active,2025-11-10,2026-05-11
LSCC,triangle_sym,pending,pending,,114.13999938964844,156.79212953280847,157.5760901804725,153.6562869421523,216.93426516913257,62.23,30,65.5,active,2025-12-01,2026-06-22
NU,ihs,type1,time,2026-08-31,15.020000457763672,14.71633358001709,14.789915247917174,14.422006908416748,18.23266735076904,23.89,20,65.5,active,2026-03-30,2026-08-10
NFG,ihs,type1,time,2026-08-17,82.33000183105469,82.05640262495989,82.46668463808467,80.41527457246069,89.47372490059817,9.04,31,64.2,active,2026-01-05,2026-08-03
EMN,rectangle,pending,pending,,68.37999725341797,77.01575842670357,77.40083721883708,75.47544325816949,87.50019681028704,15.76,21,63.1,active,2026-03-30,2026-08-17
CGNX,triangle_sym,pending,pending,,61.689998626708984,73.57526042118513,73.94313672329105,72.10375521276143,98.44214655262843,51.05,22,63.0,active,2025-12-08,2026-05-04
ARW,triangle_sym,pending,pending,,213.44000244140625,236.910545809185,238.0950985382309,232.1723348930013,307.0161065719833,42.03,29,62.5,active,2025-12-08,2026-06-22
BX,triangle_sym,type2,time,2026-07-13,125.41000366210938,124.96218600814737,125.5869969381881,122.46294228798442,143.11628132835764,17.0,23,62.5,active,2026-01-12,2026-06-15
