ticker,pattern_type,breakout_type,confirmed,breakout_date,last_close,entry_zone_low,entry_zone_high,stop_loss,price_target,measured_move_pct,pattern_duration_weeks,score,status,pattern_start_date,pattern_end_date
EA,rectangle,type1,time,2026-06-22,205.0500030517578,204.22000122070312,205.24110122680662,200.13560119628906,211.4300079345703,3.66,28,79.2,active,2025-09-29,2026-04-06
ON,triangle_sym,pending,pending,,88.56999969482422,126.31081719561399,126.94237128159205,123.78460085170171,186.1943945604138,90.15,33,68.5,active,2025-10-20,2026-06-01
EA,triangle_asc,type1,time,2026-06-22,205.0500030517578,204.22000122070315,205.24110122680665,200.1356011962891,210.79348474582665,3.33,15,64.8,active,2025-12-29,2026-04-06
CSCO,triangle_sym,pending,pending,,117.69999694824219,127.93973864592618,128.5794373391558,125.38094387300765,177.50417839832716,63.24,26,62.5,active,2025-12-08,2026-06-01
TXN,triangle_sym,pending,pending,,285.4800109863281,328.343239954248,329.98495615401924,321.77637515516307,461.3383975943126,68.08,26,62.5,active,2025-12-01,2026-05-25
CRWD,triangle_sym,pending,pending,,742.9099731445312,756.7985447474889,760.5825374712263,741.6625738525391,1104.0725686209544,84.8,19,58.2,active,2026-01-26,2026-06-01
MDLZ,rectangle,pending,pending,,60.150001525878906,63.30547231709886,63.62199967868435,62.03936287075688,71.79403277398538,15.49,18,55.3,active,2026-02-09,2026-06-08
XEL,ihs,pending,pending,,81.9800033569336,84.16083282019417,84.58163698429513,82.47761616379029,96.97379592725115,15.22,21,53.6,active,2025-10-27,2026-03-16
WDAY,rectangle,pending,pending,,123.58000183105469,156.2699966430664,157.0513466262817,153.14459671020506,201.08499145507812,40.21,13,52.2,active,2026-03-09,2026-06-01
BIIB,ihs,pending,pending,,216.6300048828125,229.88251876831055,231.03193136215208,225.28486839294433,299.40503692626953,30.24,17,51.2,active,2025-12-15,2026-04-06
XEL,rectangle,pending,pending,,81.9800033569336,83.73099255059927,84.14964751335225,82.05637269958729,90.6969857115501,9.07,10,50.4,active,2026-02-23,2026-04-27
MDLZ,ihs,pending,pending,,60.150001525878906,66.2484767603351,66.57971914413676,64.92350722512839,81.73643602340897,23.38,14,49.3,active,2025-12-08,2026-03-09
ABNB,ihs,type1,none,2026-06-29,147.1699981689453,147.07498931884766,147.81036426544188,144.1334895324707,183.33998107910156,24.66,19,37.4,active,2025-10-06,2026-02-09
